expected_note,root_hz,harmonic_index,theoretical_hz,theoretical_token,lower_hz_tolerance,upper_hz_tolerance,lower_token_tolerance,upper_token_tolerance
A.6-,698.4564628660078,9,6286.10816579407,11.8'-,6166.232634168659,6408.314154918416,11.8'a5,11.8'i5
A.6-,698.4564628660078,10,6984.564628660078,11.A'a3,6851.369593520732,7120.349061020462,11.A'a7,11.A'i3
A.6-,698.4564628660078,11,7683.021091526085,11.C'a7,7536.5065528728055,7832.383967122508,11.B'i3,11.C'a3
A.6-,698.4564628660078,12,8381.477554392093,12.1'-,8221.643512224879,8544.418873224555,12.1'a5,12.1'i5
A.7-,739.9888454232688,1,739.9888454232688,A.7'-,725.8773230150663,754.374704910704,A.7'a5,A.7'i5
A.7-,739.9888454232688,2,1479.9776908465376,B.7'-,1451.7546460301326,1508.749409821408,B.7'a5,B.7'i5
A.7-,739.9888454232688,3,2219.9665362698065,C.2'-,2177.6319690451987,2263.1241147321125,C.2'a5,C.2'i5
A.7-,739.9888454232688,4,2959.955381693075,C.7'-,2903.509292060265,3017.498819642816,C.7'a5,C.7'i5
A.7-,739.9888454232688,5,3699.944227116344,C.B'a3,3629.386615075331,3771.8735245535204,C.B'a7,C.B'i3
A.7-,739.9888454232688,6,4439.933072539613,11.2'-,4355.2639380903975,4526.248229464225,11.2'a5,11.2'i5
A.7-,739.9888454232688,7,5179.921917962882,11.5'a5,5081.141261105464,5280.622934374929,11.4'i5,11.5'-
A.7-,739.9888454232688,8,5919.91076338615,11.7'-,5807.01858412053,6034.997639285632,11.7'a5,11.7'i5
A.7-,739.9888454232688,9,6659.899608809419,11.9'-,6532.895907135596,6789.372344196337,11.9'a5,11.9'i5
A.7-,739.9888454232688,10,7399.888454232688,11.B'a3,7258.773230150662,7543.747049107041,11.B'a7,11.B'i3
A.7-,739.9888454232688,11,8139.877299655956,12.1'a7,7984.6505531657285,8298.121754017744,11.C'i3,12.1'a3
A.7-,739.9888454232688,12,8879.866145079226,12.2'-,8710.527876180795,9052.49645892845,12.2'a5,12.2'i5
A.8-,783.9908719634985,1,783.9908719634985,A.8'-,769.0402347667837,799.2321591710747,A.8'a5,A.8'i5
A.8-,783.9908719634985,2,1567.981743926997,B.8'-,1538.0804695335673,1598.4643183421495,B.8'a5,B.8'i5
A.8-,783.9908719634985,3,2351.9726158904955,C.3'-,2307.120704300351,2397.696477513224,C.3'a5,C.3'i5
A.8-,783.9908719634985,4,3135.963487853994,C.8'-,3076.1609390671347,3196.928636684299,C.8'a5,C.8'i5
A.8-,783.9908719634985,5,3919.954359817493,C.C'a3,3845.201173833919,3996.160795855374,C.C'a7,C.C'i3
A.8-,783.9908719634985,6,4703.945231780991,11.3'-,4614.241408600702,4795.392955026448,11.3'a5,11.3'i5
A.8-,783.9908719634985,7,5487.93610374449,11.6'a5,5383.281643367486,5594.6251141975235,11.5'i5,11.6'-
A.8-,783.9908719634985,8,6271.926975707988,11.8'-,6152.321878134269,6393.857273368598,11.8'a5,11.8'i5
A.8-,783.9908719634985,9,7055.917847671487,11.A'-,6921.3621129010535,7193.089432539673,11.A'a5,11.A'i5
A.8-,783.9908719634985,10,7839.908719634986,11.C'a3,7690.402347667838,7992.321591710748,11.C'a7,11.C'i3
A.8-,783.9908719634985,11,8623.899591598483,12.2'a7,8459.44258243462,8791.553750881822,12.1'i3,12.2'a3
A.8-,783.9908719634985,12,9407.890463561982,12.3'-,9228.482817201404,9590.785910052897,12.3'a5,12.3'i5
A.9-,830.6093951598903,1,830.6093951598903,A.9'-,814.7697468128156,846.7569764668477,A.9'a5,A.9'i5
A.9-,830.6093951598903,2,1661.2187903197805,B.9'-,1629.5394936256312,1693.5139529336955,B.9'a5,B.9'i5
A.9-,830.6093951598903,3,2491.8281854796705,C.4'-,2444.3092404384465,2540.2709294005426,C.4'a5,C.4'i5
A.9-,830.6093951598903,4,3322.437580639561,C.9'-,3259.0789872512623,3387.027905867391,C.9'a5,C.9'i5
A.9-,830.6093951598903,5,4153.0469757994515,11.1'a3,4073.848734064078,4233.784882334238,11.1'a7,11.1'i3
A.9-,830.6093951598903,6,4983.656370959341,11.4'-,4888.618480876893,5080.541858801085,11.4'a5,11.4'i5
